  firstName  |   lastName   | rentals |  paid  
 Frank       | Waggoner     |      32 | 127.68
 Marjorie    | Tucker       |      32 | 127.68
 Joanne      | Robertson    |      34 | 127.66
 Martha      | Gonzalez     |      34 | 127.66
 Terri       | Vasquez      |      27 | 126.73
 Bradley     | Motley       |      27 | 126.73
 Andre       | Rapp         |      28 | 126.72
 Sonia       | Gregory      |      28 | 126.72
 Jaime       | Nettles      |      29 | 126.71
 Isaac       | Oglesby      |      29 | 126.71
 Florence    | Woods        |      30 | 126.70
 Shirley     | Allen        |      31 | 126.69
 Veronica    | Stone        |      32 | 126.68
 Thelma      | Murray       |      32 | 126.68
 Ruth        | Martinez     |      24 | 125.76
 Alan        | Kahn         |      26 | 124.74
 Rick        | Mattox       |      27 | 124.73
 Bryan       | Hardison     |      28 | 124.72
 Craig       | Morrell      |      30 | 124.70
 Joy         | George       |      33 | 124.67
 Carrie      | Porter       |      34 | 124.66
 Lynn        | Payne        |      28 | 123.72
 Nina        | Soto         |      29 | 123.71
 Marc        | Outlaw       |      30 | 123.70
 Melissa     | King         |      34 | 123.66
 Ben         | Easter       |      26 | 122.74
 Eric        | Robert       |      27 | 122.73
 Brandy      | Graves       |      28 | 122.72
 Cathy       | Spencer      |      29 | 122.71
 Hilda       | Hopkins      |      29 | 122.71
 Christy     | Vargas       |      31 | 122.69
 Nathan      | Runyon       |      32 | 122.68
 Heidi       | Larson       |      34 | 122.66
 Johnnie     | Chisholm     |      24 | 121.76
 Valerie     | Black        |      26 | 121.74
 Gerald      | Fultz        |      30 | 121.70
 Jeffery     | Pinson       |      31 | 121.69
 Philip      | Causey       |      31 | 121.69
 Paul        | Trout        |      23 | 120.77
 Charlie     | Bess         |      26 | 120.74
 Alfred      | Casillas     |      26 | 120.74
 Dawn        | Sullivan     |      26 | 120.74
 Arlene      | Harvey       |      26 | 120.74
 Byron       | Box          |      29 | 120.71
 Sandra      | Martin       |      29 | 120.71
 Vickie      | Brewer       |      31 | 120.69
 Hector      | Poindexter   |      26 | 119.74
 Beatrice    | Arnold       |      26 | 119.74
 Lee         | Hawks        |      27 | 119.73
 Patsy       | Davidson     |      28 | 119.72
 Audrey      | Ray          |      29 | 119.71
 Joshua      | Mark         |      30 | 119.70
 Sarah       | Lewis        |      30 | 119.70
 Patrick     | Newsom       |      31 | 119.69
 Sally       | Pierce       |      32 | 119.68
 Jamie       | Waugh        |      25 | 118.75
 Stephanie   | Mitchell     |      25 | 118.75
 Tracey      | Barrett      |      27 | 118.73
 Misty       | Lambert      |      27 | 118.73
 Nora        | Herrera      |      28 | 118.72
 Clifton     | Malcolm      |      28 | 118.72
 Stephen     | Qualls       |      28 | 118.72
 Erik        | Guillen      |      29 | 118.71
 Mary        | Smith        |      32 | 118.68
 Leroy       | Bustamante   |      32 | 118.68
 Marshall    | Thorn        |      23 | 117.77
 Sam         | Mcduffie     |      24 | 117.76
 Perry       | Swafford     |      24 | 117.76
 Fernando    | Churchill    |      25 | 117.75
 Marlene     | Welch        |      26 | 117.74
 Velma       | Lucas        |      27 | 117.73
 Betty       | White        |      28 | 117.72
 Ellen       | Simpson      |      28 | 117.72
 Ted         | Breaux       |      29 | 117.71
 Todd        | Tan          |      29 | 117.71
 Carolyn     | Perez        |      30 | 117.70
 Terrence    | Gunderson    |      30 | 117.70
 Kevin       | Schuler      |      22 | 116.78
 Edwin       | Burk         |      23 | 116.77
 Manuel      | Murrell      |      30 | 116.70
 Theodore    | Culp         |      31 | 116.69
 Kristin     | Johnston     |      31 | 116.69
 Maxine      | Silva        |      32 | 116.68
 David       | Royal        |      26 | 115.74
 Cecil       | Vines        |      26 | 115.74
 Jean        | Bell         |      27 | 115.73
 Reginald    | Kinder       |      28 | 115.72
 Becky       | Miles        |      29 | 115.71
 Deborah     | Walker       |      29 | 115.71
 Herman      | Devore       |      29 | 115.71
 Marion      | Ocampo       |      29 | 115.71
 Clyde       | Tobias       |      29 | 115.71
 Marcus      | Hidalgo      |      30 | 115.70
 Sharon      | Robinson     |      30 | 115.70
 Heather     | Morris       |      30 | 115.70
 Angel       | Barclay      |      32 | 115.68
 Jesus       | Mccartney    |      24 | 114.76
 Douglas     | Graf         |      25 | 114.75
 Marie       | Turner       |      26 | 114.74
 Dolores     | Wagner       |      26 | 114.74
 Charlene    | Alvarez      |      27 | 114.73
 Bill        | Gavin        |      28 | 114.72
 Edward      | Baugh        |      28 | 114.72
 Evelyn      | Morgan       |      28 | 114.72
 Dennis      | Gilman       |      28 | 114.72
 Holly       | Fox          |      31 | 114.69
 Matthew     | Mahan        |      31 | 114.69
 Laura       | Rodriguez    |      22 | 113.78
 Andy        | Vanhorn      |      25 | 113.75
 Shelly      | Watts        |      26 | 113.74
 Glen        | Talbert      |      26 | 113.74
 Rene        | Mcalister    |      26 | 113.74
 Amber       | Dixon        |      27 | 113.73
 Clifford    | Bowens       |      29 | 113.71
 Cindy       | Fisher       |      29 | 113.71
 Lois        | Butler       |      35 | 113.65
 Brent       | Harkins      |      23 | 112.77
 Tyrone      | Asher        |      24 | 112.76
 Seth        | Hannon       |      25 | 112.75
 Ashley      | Richardson   |      25 | 112.75
 Larry       | Thrasher     |      26 | 112.74
 Dale        | Ratcliff     |      27 | 112.73
 Mario       | Cheatham     |      28 | 112.72
 Mabel       | Holland      |      30 | 112.70
 Geraldine   | Perkins      |      30 | 112.70
 Calvin      | Martel       |      23 | 111.77
 Claude      | Herzog       |      25 | 111.75
 Gabriel     | Harder       |      26 | 111.74
 Claudia     | Fuller       |      26 | 111.74
 Daryl       | Larue        |      27 | 111.73
 Victoria    | Gibson       |      27 | 111.73
 Earl        | Shanks       |      27 | 111.73
 Gina        | Williamson   |      28 | 111.72
 Terrance    | Roush        |      29 | 111.71
 Cynthia     | Young        |      32 | 111.68
 Myrtle      | Fleming      |      24 | 110.76
 Aaron       | Selby        |      24 | 110.76
 Travis      | Estep        |      25 | 110.75
 Georgia     | Jacobs       |      26 | 110.74
 Yolanda     | Weaver       |      27 | 110.73
 Amanda      | Carter       |      27 | 110.73
 Randy       | Gaither      |      28 | 110.72
 Ruby        | Washington   |      28 | 110.72
 Everett     | Banda        |      28 | 110.72
 Ken         | Prewitt      |      29 | 110.71
 Juanita     | Mason        |      30 | 110.70
 Kyle        | Spurlock     |      30 | 110.70
 Hazel       | Warren       |      34 | 110.66
 Dan         | Paine        |      22 | 109.78
 Wallace     | Slone        |      25 | 109.75
 Richard     | Mccrary      |      25 | 109.75
 Leon        | Bostic       |      25 | 109.75
 Gail        | Knight       |      25 | 109.75
 Katie       | Elliott      |      25 | 109.75
 Josephine   | Gomez        |      26 | 109.74
 Dean        | Sauer        |      27 | 109.73
 Andrew      | Purdy        |      27 | 109.73
 Kristina    | Chambers     |      28 | 109.72
 Julian      | Vest         |      28 | 109.72
 Leonard     | Schofield    |      32 | 109.68
 Frances     | Parker       |      22 | 108.78
 Darren      | Windham      |      24 | 108.76
 Vicki       | Fields       |      25 | 108.75
 Sidney      | Burleson     |      25 | 108.75
 Sergio      | Stanfield    |      26 | 108.74
 Lucille     | Holmes       |      28 | 108.72
 Carole      | Barnett      |      30 | 108.70
 Marian      | Mendoza      |      23 | 107.77
 Dora        | Medina       |      23 | 107.77
 Max         | Pitt         |      24 | 107.76
 Elaine      | Stevens      |      24 | 107.76
 Kelly       | Knott        |      26 | 107.74
 Edna        | West         |      26 | 107.74
 Deanna      | Byrd         |      26 | 107.74
 Virgil      | Wofford      |      27 | 107.73
 Julie       | Sanchez      |      29 | 107.71
 Jeff        | East         |      30 | 107.70
 Tom         | Milner       |      32 | 107.68
 Carlos      | Coughlin     |      23 | 106.77
 Carl        | Artis        |      23 | 106.77
 Peter       | Menard       |      23 | 106.77
 Lisa        | Anderson     |      24 | 106.76
 Lillian     | Griffin      |      25 | 106.75
 Erin        | Dunn         |      27 | 106.73
 Bobby       | Boudreau     |      35 | 106.65
 Frederick   | Isbell       |      21 | 105.79
 Brad        | Mccurdy      |      25 | 105.75
 Danielle    | Daniels      |      25 | 105.75
 Vincent     | Ralston      |      25 | 105.75
 Thomas      | Grigsby      |      25 | 105.75
 Diana       | Alexander    |      27 | 105.73
 Jimmy       | Schrader     |      29 | 105.71
 Stella      | Moreno       |      22 | 104.78
 Rodney      | Moeller      |      23 | 104.77
 Leo         | Ebert        |      23 | 104.77
 Leah        | Curtis       |      25 | 104.75
 Mark        | Rinehart     |      26 | 104.74
 Brenda      | Wright       |      26 | 104.74
 Francis     | Sikes        |      26 | 104.74
 Clarence    | Gamez        |      30 | 104.70
 Rose        | Howard       |      22 | 103.78
 Ron         | Deluca       |      23 | 103.77
 Bruce       | Schwarz      |      23 | 103.77
 Pedro       | Chestnut     |      24 | 103.76
 Beth        | Franklin     |      25 | 103.75
 Gary        | Coy          |      25 | 103.75
 Clinton     | Buford       |      25 | 103.75
 Carla       | Gutierrez    |      26 | 103.74
 Martin      | Bales        |      27 | 103.73
 Jenny       | Castro       |      27 | 103.73
 Denise      | Kelly        |      27 | 103.73
 Nancy       | Thomas       |      28 | 103.72
 Jeremy      | Hurtado      |      28 | 103.72
 Robin       | Hayes        |      24 | 102.76
 Micheal     | Forman       |      26 | 102.74
 Adam        | Gooch        |      22 | 101.78
 Dwayne      | Olvera       |      22 | 101.78
 Corey       | Hauser       |      22 | 101.78
 Willie      | Markham      |      25 | 101.75
 Louise      | Jenkins      |      25 | 101.75
 Bertha      | Ferguson     |      25 | 101.75
 Jesse       | Schilling    |      26 | 101.74
 Erika       | Pena         |      26 | 101.74
 Phillip     | Holm         |      26 | 101.74
 Willie      | Howell       |      26 | 101.74
 Raul        | Fortier      |      20 | 100.80
 Doris       | Reed         |      22 | 100.78
 Connie      | Wallace      |      23 | 100.77
 Shannon     | Freeman      |      24 | 100.76
 Ronnie      | Ricketts     |      25 | 100.75
 William     | Satterfield  |      26 | 100.74
 Dustin      | Gillette     |      26 | 100.74
 Jane        | Bennett      |      28 | 100.72
 Lawrence    | Lawton       |      31 | 100.69
 Judith      | Cox          |      33 | 100.67
 Oscar       | Aquino       |      20 |  99.80
 Ricardo     | Meador       |      21 |  99.79
 Kelly       | Torres       |      22 |  99.78
 Laurie      | Lawrence     |      23 |  99.77
 Randall     | Neumann      |      23 |  99.77
 Kurt        | Emmons       |      23 |  99.77
 Albert      | Crouse       |      23 |  99.77
 Chester     | Benner       |      24 |  99.76
 Christine   | Roberts      |      24 |  99.76
 Dorothy     | Taylor       |      25 |  99.75
 Freddie     | Duggan       |      25 |  99.75
 Ivan        | Cromwell     |      26 |  99.74
 Ross        | Grey         |      27 |  99.73
 Theresa     | Watson       |      30 |  99.70
 Kay         | Caldwell     |      20 |  98.80
 Donna       | Thompson     |      21 |  98.79
 Francisco   | Skidmore     |      22 |  98.78
 Cody        | Nolen        |      22 |  98.78
 Stacy       | Cunningham   |      23 |  98.77
 Agnes       | Bishop       |      23 |  98.77
 Annette     | Olson        |      24 |  98.76
 Mildred     | Bailey       |      25 |  98.75
 Gwendolyn   | May          |      25 |  98.75
 Elmer       | Noe          |      26 |  98.74
 Pauline     | Henry        |      27 |  98.73
 Daniel      | Cabral       |      20 |  97.80
 Rafael      | Abney        |      21 |  97.79
 Beverly     | Brooks       |      24 |  97.76
 Carmen      | Owens        |      26 |  97.74
 Melvin      | Ellington    |      26 |  97.74
 Renee       | Lane         |      26 |  97.74
 Gene        | Sanborn      |      27 |  97.73
 Derek       | Blakely      |      28 |  97.72
 Willard     | Lumpkin      |      22 |  96.78
 Peggy       | Myers        |      24 |  96.76
 Judy        | Gray         |      25 |  96.75
 Jose        | Andrew       |      25 |  96.75
 Clayton     | Barbee       |      26 |  96.74
 Ian         | Still        |      27 |  96.73
 Enrique     | Forsythe     |      28 |  96.72
 Erica       | Matthews     |      22 |  95.78
 Derrick     | Bourque      |      22 |  95.78
 Shane       | Millard      |      22 |  95.78
 Joel        | Francisco    |      23 |  95.77
 Pamela      | Baker        |      23 |  95.77
 Natalie     | Meyer        |      23 |  95.77
 Toni        | Holt         |      23 |  95.77
 Benjamin    | Varney       |      23 |  95.77
 Constance   | Reid         |      25 |  95.75
 Kimberly    | Lee          |      25 |  95.75
 Edgar       | Rhoads       |      25 |  95.75
 Esther      | Crawford     |      28 |  95.72
 Lonnie      | Tirado       |      18 |  94.82
 Nellie      | Garrett      |      21 |  94.79
 Nicole      | Peterson     |      22 |  94.78
 Emma        | Boyd         |      23 |  94.77
 Suzanne     | Nichols      |      24 |  94.76
 Scott       | Shelley      |      25 |  94.75
 April       | Burns        |      26 |  94.74
 Andrea      | Henderson    |      22 |  93.78
 Harvey      | Guajardo     |      22 |  93.78
 Loretta     | Carpenter    |      22 |  93.78
 Glenn       | Pullen       |      23 |  93.77
 Charlotte   | Hunter       |      24 |  93.76
 Jackie      | Lynch        |      25 |  93.75
 Tamara      | Nguyen       |      25 |  93.75
 Howard      | Fortner      |      26 |  93.74
 Jennifer    | Davis        |      28 |  93.72
 Robert      | Baughman     |      21 |  92.79
 Yvonne      | Watkins      |      21 |  92.79
 Susan       | Wilson       |      24 |  92.76
 Rita        | Graham       |      24 |  92.76
 Melanie     | Armstrong    |      25 |  92.75
 Megan       | Palmer       |      27 |  92.73
 Allison     | Stanley      |      27 |  92.73
 Kathleen    | Adams        |      27 |  92.73
 Wilma       | Richards     |      20 |  91.80
 Danny       | Isom         |      21 |  91.79
 Anna        | Hill         |      21 |  91.79
 Delores     | Hansen       |      21 |  91.79
 Timothy     | Bunn         |      22 |  91.78
 Carol       | Garcia       |      22 |  91.78
 Phyllis     | Foster       |      23 |  91.77
 Sean        | Douglass     |      23 |  91.77
 Emily       | Diaz         |      24 |  91.76
 Victor      | Barkley      |      24 |  91.76
 Bob         | Pfeiffer     |      24 |  91.76
 Ricky       | Shelby       |      25 |  91.75
 Darrell     | Power        |      25 |  91.75
 Jessie      | Banks        |      26 |  91.74
 Lucy        | Wheeler      |      26 |  91.74
 Wendy       | Harrison     |      30 |  91.70
 Hugh        | Waldrop      |      21 |  90.79
 Mathew      | Bolin        |      22 |  90.78
 Vivian      | Ruiz         |      23 |  90.77
 Jeffrey     | Spear        |      23 |  90.77
 Julio       | Noland       |      21 |  89.79
 Ruben       | Geary        |      21 |  89.79
 Leslie      | Gordon       |      22 |  89.78
 Lillie      | Kim          |      23 |  89.77
 Margaret    | Moore        |      23 |  89.77
 Donald      | Mahon        |      23 |  89.77
 Rebecca     | Scott        |      24 |  89.76
 Jack        | Foust        |      24 |  89.76
 Ernest      | Stepp        |      25 |  89.75
 Chad        | Carbone      |      25 |  89.75
 Keith       | Rico         |      26 |  89.74
 Jay         | Robb         |      26 |  89.74
 Vernon      | Chapa        |      18 |  88.82
 Tara        | Ryan         |      20 |  88.80
 Tyler       | Wren         |      21 |  88.79
 Bernard     | Colby        |      22 |  88.78
 Christian   | Jung         |      24 |  88.76
 Fred        | Wheat        |      25 |  88.75
 Billie      | Horton       |      26 |  88.74
 Kristen     | Chavez       |      18 |  87.82
 Jared       | Ely          |      19 |  87.81
 Maureen     | Little       |      21 |  87.79
 Bonnie      | Hughes       |      21 |  87.79
 Anne        | Powell       |      23 |  87.77
 Jon         | Wiles        |      24 |  87.76
 Colleen     | Burton       |      24 |  87.76
 Vanessa     | Sims         |      19 |  86.81
 Lewis       | Lyman        |      19 |  86.81
 Lorraine    | Stephens     |      21 |  86.79
 Felicia     | Sutton       |      28 |  86.72
 Alfredo     | Mcadams      |      20 |  85.80
 Allen       | Butterfield  |      21 |  85.79
 Kenneth     | Gooden       |      17 |  84.83
 Chris       | Brothers     |      22 |  84.78
 Rachel      | Barnes       |      22 |  84.78
 Joan        | Cooper       |      23 |  84.77
 Roberta     | Harper       |      23 |  84.77
 Eva         | Ramos        |      18 |  83.82
 Austin      | Cintron      |      19 |  83.81
 Armando     | Gruber       |      21 |  83.79
 Alicia      | Mills        |      21 |  83.79
 Wade        | Delvalle     |      22 |  83.78
 Kim         | Cruz         |      21 |  82.79
 Lance       | Pemberton    |      22 |  82.78
 Lydia       | Burke        |      24 |  82.76
 Barbara     | Jones        |      22 |  81.78
 Cory        | Meehan       |      24 |  81.76
 Melinda     | Fernandez    |      17 |  80.83
 Christina   | Ramirez      |      18 |  80.82
 Eileen      | Carr         |      18 |  80.82
 Samuel      | Marlow       |      21 |  80.79
 Roland      | South        |      23 |  80.77
 Bobbie      | Craig        |      24 |  80.76
 Norman      | Currier      |      26 |  80.74
 Allan       | Cornish      |      19 |  79.81
 Luis        | Yanez        |      20 |  79.80
 Jacob       | Lance        |      21 |  79.79
 Norma       | Gonzales     |      21 |  79.79
 Ray         | Houle        |      22 |  79.78
 Antonio     | Meek         |      16 |  78.84
 Herbert     | Kruger       |      20 |  78.80
 Gregory     | Mauldin      |      23 |  78.77
 Paula       | Bryant       |      18 |  77.82
 Nelson      | Christenson  |      20 |  77.80
 Irene       | Price        |      23 |  77.77
 Ann         | Evans        |      17 |  76.83
 Pearl       | Garza        |      22 |  76.78
 Darryl      | Ashcraft     |      23 |  76.77
 Ida         | Andrews      |      23 |  76.77
 Marvin      | Yee          |      21 |  75.79
 Dwight      | Lombardi     |      17 |  74.83
 Adrian      | Clary        |      19 |  74.81
 Jeanette    | Greene       |      20 |  74.80
 Franklin    | Troutman     |      22 |  74.78
 Tony        | Carranza     |      22 |  74.78
 Jerome      | Kenyon       |      16 |  73.84
 Henry       | Billingsley  |      18 |  73.82
 Sheila      | Wells        |      18 |  73.82
 Jo          | Fowler       |      20 |  73.80
 Juan        | Fraley       |      23 |  73.77
 Felix       | Gaffney      |      24 |  73.76
 Jonathan    | Scarborough  |      18 |  72.82
 Terry       | Grissom      |      20 |  72.80
 Edith       | Mcdonald     |      19 |  71.81
 Eugene      | Culpepper    |      19 |  71.81
 Lauren      | Hudson       |      20 |  71.80
 Anthony     | Schwab       |      20 |  71.80
 Samantha    | Duncan       |      23 |  71.77
 Irma        | Pearson      |      18 |  70.82
 Wayne       | Truong       |      19 |  70.81
 Floyd       | Gandy        |      17 |  69.83
 Penny       | Neal         |      18 |  68.82
 Jill        | Hawkins      |      21 |  68.79
 Vera        | Mccoy        |      18 |  67.82
 Joann       | Gardner      |      16 |  66.84
 Lloyd       | Dowd         |      19 |  66.81
 Alberto     | Henning      |      21 |  66.79
 Lester      | Kraus        |      16 |  65.84
 Kirk        | Stclair      |      19 |  64.81
 Mattie      | Hoffman      |      22 |  64.78
 Anita       | Morales      |      15 |  62.85
 Tiffany     | Jordan       |      14 |  59.86
 Katherine   | Rivera       |      14 |  58.86
 Annie       | Russell      |      18 |  58.82
 Johnny      | Turpin       |      19 |  57.81
 Brian       | Wyman        |      12 |  52.88
 Leona       | Obrien       |      14 |  50.86
 Caroline    | Bowman       |      15 |  50.85
(598 rows)

